loss,time,packets
0.0,0.07471513748168945,7112.0
0.5,0.0826873779296875,7083.0
1.0,0.08505010604858398,7080.0
1.5,0.08366012573242188,7150.0
2.0,0.08911013603210449,7271.0
2.5,0.08145308494567871,7133.0
3.0,0.1017770767211914,7654.0
3.5,1.0932815074920654,7764.0
4.0,0.11455297470092773,7513.0
4.5,0.7535653114318848,7542.0
5.0,0.3329811096191406,7559.0
5.5,0.09036874771118164,7517.0
6.0,0.09347891807556152,7619.0
6.5,0.6227138042449951,7819.0
7.0,0.1957399845123291,8156.0
7.5,1.1509430408477783,7916.0
8.0,1.8845789432525635,8026.0
8.5,0.7636864185333252,7780.0
9.0,4.166160821914673,8535.0
9.5,3.1711905002593994,8587.0
10.0,2.392679214477539,8203.0
10.5,9.496377229690552,8967.0
11.0,1.430753469467163,8240.0
11.5,7.656804323196411,8468.0
12.0,31.27581787109375,9171.0
12.5,28.123908519744873,8965.0
13.0,48.5428249835968,9984.0
13.5,39.10843753814697,9979.0
14.0,41.40969634056091,10198.0
14.5,66.59631395339966,10731.0
15.0,52.588207721710205,10481.0
15.5,73.55199766159058,11119.0
16.0,67.59835076332092,10892.0
16.5,100.23292326927185,11394.0
17.0,110.09216856956482,11476.0
17.5,104.96631956100464,11487.0
18.0,103.45124697685242,11492.0
18.5,109.54547476768494,11247.0
19.0,120.31977224349976,11522.0
19.5,151.1628942489624,11717.0
20.0,177.63694381713867,11973.0
21,181.03454995155334,12239.0
22,191.70673751831055,12105.0
23,208.2035617828369,12183.0
24,240.70435500144958,12244.0
25,247.87197256088257,12331.0
26,258.0730731487274,12368.0
30,432.415864944458,12681.0
35,592.0730731487274,13847.0


